headline,snippet,web_url,lead_paragraph
"{u'main': u'Canadian Documents Suggest Shift on Pipeline', u'print_headline': u'Canadian Documents Suggest Shift on Pipeline'}","Papers released to an environmental group say Canada’s government once viewed Keystone XL as important to oil sands development, in contrast to a United States assessment....",https://www.nytimes.com/2013/08/26/business/global/canadian-documents-suggest-shift-on-pipeline.html,"Papers released to an environmental group say Canada’s government once viewed Keystone XL as important to oil sands development, in contrast to a United States assessment."
"{u'main': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?"", u'print_headline': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?""}","U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian....",https://www.nytimes.com/reuters/2017/01/26/business/26reuters-usa-trump-pipeline-canada-analysis.html,"U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian."
"{u'seo': u'Canada&#8217;s Oil, the World&#8217;s Carbon', u'main': u'Canada\u2019s Oil, the World\u2019s Carbon', u'kicker': u'Editorial', u'print_headline': u'Canada\u2019s Oil, the World\u2019s Carbon', u'content_kicker': u'Editorial'}","In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?...",https://www.nytimes.com/2012/07/30/opinion/canadas-oil-the-worlds-carbon.html,"In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?"
"{u'main': u'Shell to Test Capturing of Carbon in Canada', u'kicker': u'Green', u'print_headline': u'Shell to Test Capturing Of Carbon In Canada'}","The project is intended to permanently store more than a million tons of carbon dioxide a year, which Shell said is equivalent to taking about 175,000 cars off the road....",https://green.blogs.nytimes.com/2012/09/05/for-oil-sands-a-1-36-billion-carbon-capture-effort/,
"{u'main': u'Working Around Keystone XL, Suncor Energy Steps Up Oil Production in Canada', u'print_headline': u'Working Around Keystone XL, Suncor Energy Steps Up Oil Production in Canada'}","The petroleum producer has raised its capital spending to $7.45 billion next year, more than earlier estimated....",https://www.nytimes.com/2013/11/22/business/energy-environment/working-around-keystone-xl-suncor-steps-up-oil-production.html,"The petroleum producer has raised its capital spending to $7.45 billion next year, more than earlier estimated."
"{u'main': u'Canada, on the Pipeline', u'kicker': u'Letter', u'print_headline': u'Canada, on the Pipeline', u'content_kicker': u'Letter'}","Gary Doer, the Canadian ambassador, takes issue with an editorial....",https://www.nytimes.com/2015/02/19/opinion/canada-on-the-pipeline.html,"Gary Doer, the Canadian ambassador, takes issue with an editorial."
"{u'main': u'Scientists Find Canadian Oil Safe for Pipelines, but Critics Say Questions Remain', u'print_headline': u'Scientists Find Canadian Oil Safe for Pipelines, but Critics Say Questions Remain'}","The study found that the crude proposed for the Keystone XL pipeline posed no increased risks of transport, but environmental groups said its possible environmental hazards required scrutiny....",https://www.nytimes.com/2013/06/26/us/scientists-find-canadian-oil-safe-for-pipelines-but-critics-say-questions-remain.html,"The study found that the crude proposed for the Keystone XL pipeline posed no increased risks of transport, but environmental groups said its possible environmental hazards required scrutiny."
{u'main': u'Canadian Pipeline Gets Key Approval'},"Alliance Pipeline L.P., developer of a $4 billion (Canadian), or $2.6 billion (United States), natural gas pipeline linking British Columbia and Chicago, won a crucial approval today for the project from Canadian regulators.    The partnership, wh...",https://www.nytimes.com/1998/11/27/business/canadian-pipeline-gets-key-approval.html,"Alliance Pipeline L.P., developer of a $4 billion (Canadian), or $2.6 billion (United States), natural gas pipeline linking British Columbia and Chicago, won a crucial approval today for the project from Canadian regulators. The partnership, whose biggest investors include Enbridge Inc. and Fort Chicago Energy Partners L.P., was cleared by Canada's National Energy Board, the body that regulates pipelines and energy exports."
"{u'main': u'Canadian Review Panel Approves Plans for an Oil Pipeline', u'print_headline': u'Canadian Review Panel Approves Plans for an Oil Pipeline'}","If built, the pipeline and port project will move oil from Alberta’s oil sands to tankers on Canada’s Pacific Coast....",https://www.nytimes.com/2013/12/20/business/international/canadian-review-panel-approves-plans-for-an-oil-pipeline.html,"If built, the pipeline and port project will move oil from Alberta’s oil sands to tankers on Canada’s Pacific Coast."
"{u'main': u'Canada: Partnership Buys Pipeline', u'kicker': u'World Business Briefing  | Americas', u'print_headline': u'Canada: Partnership Buys Pipeline', u'content_kicker': u'World Business Briefing  | Americas'}",The Inter Pipeline Fund agreed to buy the Corridor pipeline system in Alberta from Kinder Morgan for 275 million Canadian dollars ($233 million) to become the largest shipper of bitumen from the province’s oil sands. The Corridor system transpor...,https://www.nytimes.com/2007/03/06/business/worldbusiness/06fobriefs-PARTNERSHIPB_BRF.html,"The Inter Pipeline Fund agreed to buy the Corridor pipeline system in Alberta from Kinder Morgan for 275 million Canadian dollars ($233 million) to become the largest shipper of bitumen from the province’s oil sands. The Corridor system transports diluted bitumen, a heavy oil, from the Athabasca oil sands project near Fort McMurray to a processing plant near Edmonton, the partnership said. Inter Pipeline will also assume 485 million Canadian dollars of Corridor debt. Inter Pipeline already operates and holds an 85 percent stake in the Cold Lake pipeline, which transports 330,000 barrels of blended bitumen a day in east-central Alberta. After the Corridor acquisition, the partnership said its lines would carry about half of the production of bitumen from Alberta’s tarlike oil sands."
