headline,snippet,web_url,lead_paragraph
"{u'main': u'TURBINE INSTALLATION EXTENSIVE IN CANADA; Amounted to 398,000 Horsepower Last Year, With Widespread Use of Electrical Energy.'}","New turbine installations in Canada last year amounted to 398,000 horsepower, according to the monthly letter of the Royal Bank of Canada, including the 90,000-horsepower development on the Lievre River by......",https://query.nytimes.com/gst/abstract.html?res=9D0CEEDC163BE03ABC4C53DFB166838A629EDE,"New turbine installations in Canada last year amounted to 398,000 horsepower, according to the monthly letter of the Royal Bank of Canada, including the 90,000-horsepower development on the Lievre River by..."
"{u'main': u'PART OF LAKE DROP ASCRIBED TO CANADA; Its Withdrawals for Power, in Addition to Chicago Canal, Lower Level, Engineer Says. HUGHES LIMITS NEW YORK He Bars From Diversion Hearing in Washington Testimony on State Claims to St. Lawrence Power.'}","WASHINGTON, Nov. 13 (AP). -- Attacking testimony of the six plaintiff States described as the nub of the lake level controversy, counsel for the Sanitary, District of Chicago today adduced evidence at the Supreme Court chancery bearing before Spec...",https://query.nytimes.com/gst/abstract.html?res=9F01E6D81639E633A25757C1A9679D946795D6CF,"WASHINGTON, Nov. 13 (AP). -- Attacking testimony of the six plaintiff States described as the nub of the lake level controversy, counsel for the Sanitary, District of Chicago today adduced evidence at the Supreme Court chancery bearing before Special Master Charles E. Hughes that discontinuance of its drainage diversion alone would not restore Lake Michigan to the level recorded prior to the opening of its canal in 1900."
{u'main': u'SUPER-POWER PLAN BLOCKED IN CANADA; Project to Link Resources Across the Border With Ours Is Shelved.'},The hope of a number of American and Canadian financiers to link together the great potential hydroelectric resources of the two neighboring nations has received a serious setback. It was learned yesterday that agitation in the Provinces of Quebec...,https://query.nytimes.com/gst/abstract.html?res=9400E7DA123FE733A25752C2A9649C946495D6CF,"The hope of a number of American and Canadian financiers to link together the great potential hydroelectric resources of the two neighboring nations has received a serious setback. It was learned yesterday that agitation in the Provinces of Quebec and Ontario against the ""export of Canadian power"" has made impossible -- for the time being at least -- plans which have been in the making for several years."
{u'main': u'World Business Briefing | Americas: Canada: Water Treatment Concern Acquired'},"General Electric said it agreed to acquire Zenon Environmental, a water treatment company in Canada, for about 760 million Canadian dollars ($646.4 million). General Electric said its water technologies unit would acquire Zenon, paying 24 Canadian...",/data/daily/2006/03/15/872342.sgml,"General Electric said it agreed to acquire Zenon Environmental, a water treatment company in Canada, for about 760 million Canadian dollars ($646.4 million). General Electric said its water technologies unit would acquire Zenon, paying 24 Canadian dollars a share. Zenon makes supplies for water purification, wastewater treatment and water reuse for municipalities and industries. General Electric is based in Fairfield, Conn. Stock in Zenon, which is based in Oakville, Ontario, rose 8.28 Canadian dollars, or 53 percent, to 23.78 Canadian dollars a share."
"{u'main': u'Sidelights; Exchange Acting On Warrants More Lines for Unilever Scat, Detergents Du Pont of Canada'}","A year ago officials of the American Stock Exchange were afraid of a ""short squeeze"" in the warrants of the Molybdenum Corporation of America....",https://query.nytimes.com/gst/abstract.html?res=940CE0D61238E43BBC4C52DFBF668388679EDE,"A year ago officials of the American Stock Exchange were afraid of a ""short squeeze"" in the warrants of the Molybdenum Corporation of America."
{u'main': u'The World; Pollution in Canada? Believe It.'},"FRAMED by three oceans, carved by the receding sheets of ice age glaciers, the world's second-largest country has great forests, crystal lakes and the bountiful granary of an endless prairie.   Canada: the very name calls up visions of snow-whitep...",https://www.nytimes.com/1994/07/24/weekinreview/the-world-pollution-in-canada-believe-it.html,"FRAMED by three oceans, carved by the receding sheets of ice age glaciers, the world's second-largest country has great forests, crystal lakes and the bountiful granary of an endless prairie. Canada: the very name calls up visions of snow-whitepeaks jutting into a clean blue sky, of wolf and moose and mink roaming the woods and plains as they did for eons before the British and French fought at Quebec to see who would reign over this vast land."
{u'main': u'END OF HEAT WAVE PREDICTED TODAY ACROSS THE NATION; Scattered Showers in Morning to Herald Cold Air Masses Coming From Canada'},The heat wave that has had this city in its grip for the last four days is breaking up. Last night's forecast for New York and vicinity was for highest temperatures in the mid-eighties today -- a modest figure compared with the broiling heat of re...,https://query.nytimes.com/gst/abstract.html?res=9807EFDC1338E13ABC4850DFBE668383659EDE,The heat wave that has had this city in its grip for the last four days is breaking up. Last night's forecast for New York and vicinity was for highest temperatures in the mid-eighties today -- a modest figure compared with the broiling heat of recent days.
{u'main': u'A DETERGENT CURB IN CANADA DOUBTED'},"OTTAWA, Feb. 10 (Canadian Press) Resources Minister John J. Greene conceded today that the federal Government was powerless to enforce any ban on phosphates in laundry detergents or a progressive reduction in their use....",https://query.nytimes.com/gst/abstract.html?res=9501E2D81F3FE034BC4952DFB466838B669EDE,"OTTAWA, Feb. 10 (Canadian Press) Resources Minister John J. Greene conceded today that the federal Government was powerless to enforce any ban on phosphates in laundry detergents or a progressive reduction in their use."
{u'main': u'Accord Reached in Canada On Heavy Water Production'},"Atomic Energy of Canada and Deuterium of Canada agree on mfr; plant planned, NS...",https://www.nytimes.com/1964/02/16/accord-reached-in-canada-on-heavy-water-production.html,"Atomic Energy of Canada and Deuterium of Canada agree on mfr; plant planned, NS"
"{u'main': u'ASSAILS GOV. SMITH ON WATER POWER; Dr. Finch of Columbia University Says State Ownership Has Failed Everywhere. CITES CANADA AS EXAMPLE Professor Urges Unified System for New York, Pennsylvania and New England.'}","The policies of Governor Smith for the development of water power in New York State were called Utopia and unworkable in a statement issued yesterday by Dr. James K. Finch, Professor of Civil Engineering at Columbia University....",https://query.nytimes.com/gst/abstract.html?res=9405E2D91339E633A25753C1A9659C946795D6CF,"The policies of Governor Smith for the development of water power in New York State were called Utopia and unworkable in a statement issued yesterday by Dr. James K. Finch, Professor of Civil Engineering at Columbia University."
"{u'main': u'DANONE TO PURCHASE SPARKLING SPRING WATER OF CANADA', u'kicker': u'COMPANY NEWS'}","Groupe Danone, the bottler of Evian and Dannon water, agreed to buy Sparkling Spring Water Holdings of Canada for an undisclosed price to expand its home and office-delivery business in North America. The closely held Sparkling Spring has annual s...",https://www.nytimes.com/2002/11/13/business/company-news-danone-to-purchase-sparkling-spring-water-of-canada.html,"Groupe Danone, the bottler of Evian and Dannon water, agreed to buy Sparkling Spring Water Holdings of Canada for an undisclosed price to expand its home and office-delivery business in North America. The closely held Sparkling Spring has annual sales of more than 100 million euros ($101 million). Outside of Canada, Sparkling Spring sells water in the United States, Britain and the Netherlands. Danone last month bought Patrimoine des Eaux du Québec. It also bought Chateaud'Eau International from Suez S.A. in October to enter the British market for home and office delivery."
{u'main': u'Canada Pledges to Battle Growing Water Pollution'},"OTTAWA, Aug. 25 -- The Canadian Government promised today to break through a ""bureaucratic and jurisdictional maze"" and attack the nation's growing problem of water pollution....",https://query.nytimes.com/gst/abstract.html?res=950DE4D61331EE3BBC4E51DFBE668382679EDE,"OTTAWA, Aug. 25 -- The Canadian Government promised today to break through a ""bureaucratic and jurisdictional maze"" and attack the nation's growing problem of water pollution."
"{u'main': u'SELLS LAURENTIDE SHARES.; Canada Power and Pulp Disposes of 75,000 of Common Stock.'}","Buys shares of Laurentide Co, Ltd...",https://query.nytimes.com/gst/abstract.html?res=9406EEDA163FE33ABC4D53DFBF668383639EDE,
{u'main': u'U.S.-Canada Commission Urges Halt to Federal Irrigation Project'},"WASHINGTON, Oct. 9 A United States-Canada commission, in an unusual action, is recommending to the State Department that a controversial Federal irrigation project in North Dakota be halted because of the adverse effects that its drainage, flowing...",https://query.nytimes.com/gst/abstract.html?res=9A06E7D71E3FE334BC4852DFB667838C669EDE,"WASHINGTON, Oct. 9 A United States-Canada commission, in an unusual action, is recommending to the State Department that a controversial Federal irrigation project in North Dakota be halted because of the adverse effects that its drainage, flowing north across the international boundary, would have on Canadian fish, wildlife and water quality."
{u'main': u'DEFENDS CHICAGO DRAINAGE; Counsel Says Canada Has No Right to Object.'},"G F Barrett, counsel for Chicago Sanitary Dist, defends Chicago drainage, at House Com hearing...",https://query.nytimes.com/gst/abstract.html?res=9D06E7DE133BE233A25750C1A9639C946595D6CF,
{u'main': u'U.S. and Canada to Seek Pact to Fight Acid Rain'},"WASHINGTON, Aug. 6 (UPI)--Secretary of State Edmund S. Muskie and Canadian officials yesterday signed a document committing the United States and Canada to work toward a treaty controlling the spread of acid rain and other pollutants....",https://query.nytimes.com/gst/abstract.html?res=9D02EEDF113BE732A25754C0A96E9C94619FD6CF,"WASHINGTON, Aug. 6 (UPI)--Secretary of State Edmund S. Muskie and Canadian officials yesterday signed a document committing the United States and Canada to work toward a treaty controlling the spread of acid rain and other pollutants."
